target_id,evidence_class,route_id,clock_id,native_object,projection_mapping,native_time,calendar_time,calendar_time_normalized,event_count,cumulative_volume,impact
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},70,70.656000000000006,0.27600000000000002,70,0.2734375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},71,71.168000000000006,0.27800000000000002,71,0.27734375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},71,71.680000000000007,0.28000000000000003,71,0.27734375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},72,72.192000000000007,0.28200000000000003,72,0.28125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},72,72.704000000000008,0.28400000000000003,72,0.28125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},73,73.216000000000008,0.28600000000000003,73,0.28515625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},73,73.728000000000009,0.28800000000000003,73,0.28515625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},74,74.239999999999995,0.28999999999999998,74,0.2890625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},74,74.751999999999995,0.29199999999999998,74,0.2890625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},75,75.263999999999996,0.29399999999999998,75,0.29296875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},75,75.775999999999996,0.29599999999999999,75,0.29296875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},76,76.287999999999997,0.29799999999999999,76,0.296875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},76,76.799999999999997,0.29999999999999999,76,0.296875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},77,77.311999999999998,0.30199999999999999,77,0.30078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},77,77.823999999999998,0.30399999999999999,77,0.30078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},78,78.335999999999999,0.30599999999999999,78,0.3046875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},78,78.847999999999999,0.308,78,0.3046875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},79,79.359999999999999,0.31,79,0.30859375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},79,79.872,0.312,79,0.30859375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},80,80.384,0.314,80,0.3125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},80,80.896000000000001,0.316,80,0.3125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},81,81.408000000000001,0.318,81,0.31640625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},81,81.920000000000002,0.32000000000000001,81,0.31640625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},82,82.432000000000002,0.32200000000000001,82,0.3203125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},82,82.944000000000003,0.32400000000000001,82,0.3203125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},83,83.456000000000003,0.32600000000000001,83,0.32421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},83,83.968000000000004,0.32800000000000001,83,0.32421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},84,84.480000000000004,0.33000000000000002,84,0.328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},84,84.992000000000004,0.33200000000000002,84,0.328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},85,85.504000000000005,0.33400000000000002,85,0.33203125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},86,86.016000000000005,0.33600000000000002,86,0.3359375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},86,86.528000000000006,0.33800000000000002,86,0.3359375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},87,87.040000000000006,0.34000000000000002,87,0.33984375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},87,87.552000000000007,0.34200000000000003,87,0.33984375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},88,88.064000000000007,0.34400000000000003,88,0.34375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},88,88.576000000000008,0.34600000000000003,88,0.34375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},89,89.088000000000008,0.34800000000000003,89,0.34765625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},89,89.600000000000009,0.35000000000000003,89,0.34765625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},90,90.111999999999995,0.35199999999999998,90,0.3515625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},90,90.623999999999995,0.35399999999999998,90,0.3515625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},91,91.135999999999996,0.35599999999999998,91,0.35546875,
