target_id,evidence_class,alpha_L,lag,C_exact,C_mc_mean,C_mc_sd,absolute_error
F03,diagnostic_simulation,1.5,210,0.035220287503999935,0.042596608305909119,0.029641780605277283,0.0073763208019091836
F03,diagnostic_simulation,1.5,211,0.035136728456201569,0.042013606532968352,0.029025943676813187,0.0068768780767667834
F03,diagnostic_simulation,1.5,212,0.035053761321957068,0.042420361009727715,0.029225892787759691,0.0073665996877706474
F03,diagnostic_simulation,1.5,213,0.034971379145828312,0.042112235665117917,0.029809284166657467,0.0071408565192896054
F03,diagnostic_simulation,1.5,214,0.03488957508626573,0.042635436948803118,0.030403006923741333,0.0077458618625373885
F03,diagnostic_simulation,1.5,215,0.034808342413222247,0.043799082957595381,0.03049335075201021,0.0089907405443731339
F03,diagnostic_simulation,1.5,216,0.034727674505827269,0.04258040377508323,0.030153948149111189,0.0078527292692559605
F03,diagnostic_simulation,1.5,217,0.034647564850120709,0.042815364586316039,0.030006794441177487,0.0081677997361953303
F03,diagnostic_simulation,1.5,218,0.034568007036842846,0.042824118262409991,0.031296095884877619,0.0082561112255671448
F03,diagnostic_simulation,1.5,219,0.034488994759281105,0.043101078553020901,0.03101635940756952,0.0086120837937397957
F03,diagnostic_simulation,1.5,220,0.034410521811169936,0.042926574120737318,0.02998395131578031,0.0085160523095673818
F03,diagnostic_simulation,1.5,221,0.034332582084643133,0.042026664325011551,0.030313721511641543,0.0076940822403684175
F03,diagnostic_simulation,1.5,222,0.034255169568237272,0.040831812524339303,0.030211709982306267,0.0065766429561020315
F03,diagnostic_simulation,1.5,223,0.034178278344943858,0.040853921602315206,0.029456423175936611,0.0066756432573713484
F03,diagnostic_simulation,1.5,224,0.034101902590310089,0.040178298717165543,0.029038485526860551,0.0060763961268554545
F03,diagnostic_simulation,1.5,225,0.034026036570585415,0.04058888434974172,0.029589322888942518,0.0065628477791563056
F03,diagnostic_simulation,1.5,226,0.033950674640913801,0.040046884902908544,0.029223901995104589,0.0060962102619947431
F03,diagnostic_simulation,1.5,227,0.033875811243569247,0.039314935647552465,0.02967285089257498,0.0054391244039832184
F03,diagnostic_simulation,1.5,228,0.033801440906234596,0.039475442508285108,0.028962848713818722,0.0056740016020505116
F03,diagnostic_simulation,1.5,229,0.033727558240321115,0.04005211614455071,0.028183792056665231,0.0063245579042295955
F03,diagnostic_simulation,1.5,230,0.033654157939328744,0.040455073039241896,0.028295869916729083,0.0068009150999131518
F03,diagnostic_simulation,1.5,231,0.033581234777245159,0.040534452279955564,0.028283814176526104,0.0069532175027104057
F03,diagnostic_simulation,1.5,232,0.033508783606983006,0.039635450074834294,0.028634716118683276,0.0061266664678512883
F03,diagnostic_simulation,1.5,233,0.033436799358853846,0.039997365517294048,0.028905623135726723,0.0065605661584402022
F03,diagnostic_simulation,1.5,234,0.033365277039078302,0.039787522431369557,0.028323201105615276,0.0064222453922912551
F03,diagnostic_simulation,1.5,235,0.033294211728330858,0.04070020503304584,0.028636652797002678,0.007405993304714982
F03,diagnostic_simulation,1.5,236,0.033223598580318717,0.039761099317317534,0.029026423041257968,0.0065375007369988178
F03,diagnostic_simulation,1.5,237,0.033153432820393638,0.040377882225370067,0.028135634219570483,0.0072244494049764282
F03,diagnostic_simulation,1.5,238,0.033083709744195867,0.040876306766549832,0.027558909369710609,0.0077925970223539642
F03,diagnostic_simulation,1.5,239,0.0330144247163296,0.039736736602966727,0.027701346299847673,0.0067223118866371265
F03,diagnostic_simulation,1.5,240,0.032945573169068133,0.039579387867310162,0.02846556276430336,0.0066338146982420285
F03,diagnostic_simulation,1.5,241,0.032877150601089498,0.04037754435802568,0.028081548658928552,0.0075003937569361814
F03,diagnostic_simulation,1.5,242,0.032809152576240029,0.040579109743339115,0.028807126325822413,0.0077699571670990855
F03,diagnostic_simulation,1.5,243,0.032741574722326479,0.040726266795468521,0.028689671434804699,0.0079846920731420426
